id,complex
FECE-MONOMER,ABC-9-CPLX
FEOB-MONOMER,
FEPC-MONOMER,ABC-10-CPLX
FEPD-MONOMER,ABC-10-CPLX
FEPG-MONOMER,ABC-10-CPLX
FHUB-MONOMER,ABC-11-CPLX
FLIG-FLAGELLAR-SWITCH-PROTEIN,CPLX0-7450
FLIG-FLAGELLAR-SWITCH-PROTEIN,CPLX0-7452
FLIG-FLAGELLAR-SWITCH-PROTEIN,FLAGELLAR-MOTOR-COMPLEX
FOCA-MONOMER,CPLX0-7843
FOCB-MONOMER,
FRUA-MONOMER,CPLX-158
FRVB-MONOMER,CPLX-159
FRWC-MONOMER,CPLX-160
FSR-MONOMER,
FTSX-MONOMER,ABC-54-CPLX
FUCP-MONOMER,
FUM-MEMB1,FUMARATE-REDUCTASE
FUM-MEMB2,FUMARATE-REDUCTASE
G370-MONOMER,CPLX0-7451
G6102-MONOMER,
G6126-MONOMER,
G6158-MONOMER,
G6171-MONOMER,
G6180-MONOMER,
G6182-MONOMER,
G6193-MONOMER,
G6228-MONOMER,
G6229-MONOMER,
G6252-MONOMER,
G6253-MONOMER,
G6255-MONOMER,
G6260-MONOMER,
G6264-MONOMER,
G6265-MONOMER,
G6267-MONOMER,
G6318-MONOMER,CPLX0-8288
G6323-MONOMER,CPLX0-7981
G6345-MONOMER,
G6356-MONOMER,
G6384-MONOMER,
G6396-MONOMER,
G6403-MONOMER,
G6404-MONOMER,
G6405-MONOMER,
G6407-MONOMER,
G6408-MONOMER,
G6412-MONOMER,
G6417-MONOMER,CPLX0-7983
G6421-MONOMER,
G6434-MONOMER,
G6439-MONOMER,
G6443-MONOMER,
G6445-MONOMER,
G6446-MONOMER,
G6448-MONOMER,
G6451-MONOMER,
G6454-MONOMER,
G6458-MONOMER,
G6464-MONOMER,
G6490-MONOMER,
G6495-MONOMER,
G6496-MONOMER,
G6508-MONOMER,
G6513-MONOMER,
G6528-MONOMER,CPLX0-7994
G6529-MONOMER,CPLX0-7994
G6532-MONOMER,
G6536-MONOMER,
G6542-MONOMER,
G6554-MONOMER,
G6561-MONOMER,
G6572-MONOMER,
G6578-MONOMER,
G6579-MONOMER,
G6608-MONOMER,
G6630-MONOMER,
G6636-MONOMER,
G6637-MONOMER,
G6674-MONOMER,
G6703-MONOMER,
G6727-MONOMER,
G6728-MONOMER,
G6730-MONOMER,
G6758-MONOMER,
G6807-MONOMER,
G6808-MONOMER,
G6840-MONOMER,
G6848-MONOMER,CPLX0-1601
G6863-MONOMER,
G6870-MONOMER,
G6871-MONOMER,
G6874-MONOMER,
G6875-MONOMER,
G6876-MONOMER,
G6885-MONOMER,
G6898-MONOMER,
G6914-MONOMER,
G6931-MONOMER,
G6933-MONOMER,
G6934-MONOMER,
G6945-MONOMER,
G6947-MONOMER,
G6953-MONOMER,
G6956-MONOMER,
G6971-MONOMER,
G6972-MONOMER,
G6975-MONOMER,
G6984-MONOMER,
G6998-MONOMER,
G6999-MONOMER,
G7002-MONOMER,
G7006-MONOMER,
G7007-MONOMER,CPLX0-8551
G7013-MONOMER,
G7019-MONOMER,
G7028-MONOMER,CPLX0-7451
G7037-MONOMER,CPLX0-8152
G7049-MONOMER,
G7051-MONOMER,
G7060-MONOMER,CPLX0-8213
G7062-MONOMER,
G7081-MONOMER,
G7097-MONOMER,
G7098-MONOMER,
G7101-MONOMER,
G7105-MONOMER,CPLX0-7529
G7108-MONOMER,
G7138-MONOMER,
G7146-MONOMER,
G7148-MONOMER,
G7167-MONOMER,
G7170-MONOMER,
G7171-MONOMER,CPLX0-7720
G7173-MONOMER,
G7186-MONOMER,
G7189-MONOMER,
G7190-MONOMER,
G7219-MONOMER,
G7220-MONOMER,
G7243-MONOMER,
G7251-MONOMER,
G7258-MONOMER,
G7268-MONOMER,
G7282-MONOMER,
G7310-MONOMER,
G7314-MONOMER,CPLX0-8200
G7337-MONOMER,
G7347-MONOMER,
G7355-MONOMER,
G7356-MONOMER,
G7357-MONOMER,
G7371-MONOMER,
G7377-MONOMER,
G7398-MONOMER,CPLX0-8219
G7399-MONOMER,
G7407-MONOMER,
G7432-MONOMER,
G7451-MONOMER,
G7457-MONOMER,
